root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,345,2023,1,49,0.5187288469185032,0.5188740747193089,-0.34993883173457074,-0.3504306988794413,0.5121448410658742,0.9808947440318205,1.3313254429112618
NQ,GLOBEX,B0,1day,345,2023,2,140,0.5576203085731409,0.6166983145734523,1.1729662225958277,1.003132677475234,0.6984234455817953,0.9486455140907233,0.6153459140226868
NQ,GLOBEX,B0,1day,345,2023,3,55,0.26861355477455007,0.3052724678724169,0.33387451467477636,0.35580943304397045,0.23619666650994411,0.9568599972974748,0.7206633307875308
NQ,GLOBEX,B0,1day,1380,0,0,1948,0.8431568876978951,0.8668440933129714,1.0775261308870787,0.9850380439998032,0.8761089778764366,0.9980262887109778,0.23436924318918362
NQ,GLOBEX,B0,1day,1380,0,1,650,0.432741822649076,0.5094027578153175,0.7925563430035676,0.8126052834798757,0.6132920350331926,0.9929901313000155,0.5602483086509394
NQ,GLOBEX,B0,1day,1380,0,2,649,0.5386548521132278,0.5867327478767063,0.9275727616849816,0.8485962266541266,0.6283157245654564,0.9905073694546911,0.45185251734146326
NQ,GLOBEX,B0,1day,1380,0,3,649,0.7113948466046808,0.7756376083862434,1.2702057152231216,1.1030348621022437,0.8253559494302142,0.9958414092027242,0.5588108686184409
NQ,GLOBEX,B0,1day,1380,2016,0,241,0.8329908494139319,0.8511929730942331,1.1545618790222185,1.0324637478294327,0.941684834799088,0.9975021552392478,0.32157102960828665
NQ,GLOBEX,B0,1day,1380,2016,1,111,0.6179713493986985,0.826278039985602,2.1019333048149385,2.4451136689475135,0.6138019117522692,0.9900646249896877,1.8313117571952442
NQ,GLOBEX,B0,1day,1380,2016,2,89,0.6114408477683423,0.6642943265223729,1.3150123468745136,1.046868017878459,0.8663142750945123,0.991078311701539,0.7035714991061713
NQ,GLOBEX,B0,1day,1380,2016,3,41,0.9433915424642282,0.8911646827997973,-5.546060738658941,4.578622710647086,0.6960149896803535,0.9954717096110827,10.124683449306026
NQ,GLOBEX,B0,1day,1380,2017,0,242,0.7533066435066195,0.8004043982007102,2.352105979602836,1.665049944761673,0.5949729542268027,0.9927153761275592,1.7571330253760333
NQ,GLOBEX,B0,1day,1380,2017,1,194,0.5978105419040545,0.660427811883697,1.914379558467089,1.4679213498395902,0.5539820750335359,0.9884110273046813,1.360397483433553
NQ,GLOBEX,B0,1day,1380,2017,2,42,-0.029324590165396708,-0.2832367479371693,-0.03285341033313426,0.19569855422530805,0.23403887567403736,0.9855350216098622,1.2687717695470315
NQ,GLOBEX,B0,1day,1380,2018,0,243,0.9226447282272844,0.8841821346348605,1.5451104048887767,1.0982106511870469,0.8521142235875749,0.9976999130531475,0.6929961813012018
NQ,GLOBEX,B0,1day,1380,2018,1,72,0.3344217750534021,0.32204924079096214,0.8997561866086686,0.5250363877300609,0.27916415842573095,0.98622443856072,0.707060280134989
NQ,GLOBEX,B0,1day,1380,2018,2,84,0.5889517980576535,0.7382078343374036,2.469568158317331,2.5824113974748153,0.5308980004162812,0.9902534364373304,2.051513397058534
NQ,GLOBEX,B0,1day,1380,2018,3,87,1.4771194711688294,1.4287779052507832,-2.9838697853733374,-4.250980110594027,0.8556363773792702,0.994703028016828,5.728099581762856
NQ,GLOBEX,B0,1day,1380,2019,0,243,0.7966348115608626,0.8368034801964871,1.458275818581161,1.2005912365992242,0.7889097753104837,0.9964717366235023,0.6693660432706774
NQ,GLOBEX,B0,1day,1380,2019,1,100,0.5120535156700613,0.5000420484285223,1.0008197318648584,0.6845875536303785,0.6220668378612094,0.992799403411417,0.5007776834363361
NQ,GLOBEX,B0,1day,1380,2019,2,91,0.7356311657098759,0.6153104568949154,-4.0002214016244775,2.34296859725378,0.783917403099588,0.9897686319902991,6.343189998878257
NQ,GLOBEX,B0,1day,1380,2019,3,52,0.9594020446118401,0.7822066127074156,-1.4623279615245446,8.400887915548868,0.6285172616510011,0.9931120824407581,9.863215877073412
